#separator:tab
#html:true
#columns:Key	Component	Pinyin	Meaning	MemberChars	SameSyllableChars	Reliability	Productivity	Frequency	Decomposition	CrossRefs	Note	Link	Audio	Tags
#tags column:15
巴:ba1	巴	bā	to long for / to wish / to cling to / to stick to / sth that sticks / close to / next to / spread open / informal abbr. for bus 巴士 / bar (unit of pressure) / nominalizing suffix on certain nouns, such as 尾巴, tail	吧疤芭笆粑	把爸靶耙钯		19	546	once:𠃜+乚;radical:丨+?+丨+乚			https://hanzicraft.com/dashboard/character/%E5%B7%B4%E5%90%A7%E7%96%A4%E8%8A%AD%E7%AC%86%E7%B2%91	[sound:ba1.mp3]	phonetic-component
犮:ba2	犮	bá	old variant of 犬[quan3]	拔跋魃茇			18		once:?+又;radical:𠂇+丶+又			https://hanzicraft.com/dashboard/character/%E7%8A%AE%E6%8B%94%E8%B7%8B%E9%AD%83%E8%8C%87	[sound:ba2.mp3]	phonetic-component
半:ban4	半	bàn	half / semi- / incomplete / (after a number) and a half	伴绊絆拌			13	513	once:?+丷;radical:二+丨+丷			https://hanzicraft.com/dashboard/character/%E5%8D%8A%E4%BC%B4%E7%BB%8A%E7%B5%86%E6%8B%8C	[sound:ban4.mp3]	phonetic-component
包:bao1	包	bāo	to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL:個|个[ge4],隻|只[zhi1]	胞苞龅齙孢	抱饱鲍刨雹飽		26	454	once:勹+巳;radical:勹+巳			https://hanzicraft.com/dashboard/character/%E5%8C%85%E8%83%9E%E8%8B%9E%E9%BE%85%E9%BD%99%E5%AD%A2	[sound:bao1.mp3]	phonetic-component
保:bao3	保	bǎo	to defend / to protect / to insure or guarantee / to maintain / hold or keep / to guard	堡葆褓	褒煲		6	266	once:亻+呆;radical:亻+口+木			https://hanzicraft.com/dashboard/character/%E4%BF%9D%E5%A0%A1%E8%91%86%E8%A4%93	[sound:bao3.mp3]	phonetic-component
卑:bei1	卑	bēi	low / base / vulgar / inferior / humble	碑鹎鵯		4/23	25	2055	once:?+十;radical:冂+二+丨+丶+十	bì / 婢裨睥髀萆 · pí / 脾啤裨鼙蜱		https://hanzicraft.com/dashboard/character/%E5%8D%91%E7%A2%91%E9%B9%8E%E9%B5%AF	[sound:bei1.mp3]	phonetic-component
比:bi3	比	bǐ	(particle used for comparison and "-er than") / to compare / to contrast / to gesture (with hands) / ratio	吡妣秕	毕毙陛庇跸毖哔荜筚狴	4/20	62	199	once:匕	bì / 毙庇毖	Exceptions (different sound): 毕昆皆毚	https://hanzicraft.com/dashboard/character/%E6%AF%94%E5%90%A1%E5%A6%A3%E7%A7%95	[sound:bi3.mp3]	phonetic-component
敝:bi4	敝	bì	my (polite) / poor / ruined / shabby / worn out / defeated	幣蔽斃弊		5/12	10	3253	once:㡀+⺙;radical:巾+冫+?+⺙	biē / 憋鳖鱉鼈		https://hanzicraft.com/dashboard/character/%E6%95%9D%E5%B9%A3%E8%94%BD%E6%96%83%E5%BC%8A	[sound:bi4.mp3]	phonetic-component
比:bi4	比	bì	(particle used for comparison and "-er than") / to compare / to contrast / to gesture (with hands) / ratio	毙庇毖	吡妣秕	4/20	62	199	once:匕	bǐ / 吡妣秕	Exceptions (different sound): 毕昆皆毚	https://hanzicraft.com/dashboard/character/%E6%AF%94%E6%AF%99%E5%BA%87%E6%AF%96	[sound:bi4.mp3]	phonetic-component
畢:bi4	畢	bì	the whole of / to finish / to complete / complete / full / finished	蹕嗶蓽篳			5	1091	once:田+?;radical:田+一+二+丨+艹			https://hanzicraft.com/dashboard/character/%E7%95%A2%E8%B9%95%E5%97%B6%E8%93%BD%E7%AF%B3	[sound:bi4.mp3]	phonetic-component
